symbol,date,open,high,low,close,volume,adj_close
ETF,2015-05-27,12.96,13.00,12.94,12.98,6000,12.98
ETF,2015-05-26,13.24,13.24,13.07,13.07,6900,13.07
XXII,2015-05-27,1.07,1.109,1.03,1.08,299200,1.08
XXII,2015-05-26,1.05,1.22,1.01,1.08,315500,1.08
FCO,2015-05-27,9.24,9.26,9.23,9.24,10000,9.24
FCO,2015-05-26,9.29,9.32,9.27,9.27,14100,9.27
FAX,2015-05-27,5.37,5.38,5.31,5.34,1026300,5.34
FAX,2015-05-26,5.40,5.44,5.37,5.37,655800,5.37
IAF,2015-05-27,6.95,6.97,6.92,6.94,55500,6.94
IAF,2015-05-26,6.98,7.00,6.96,6.98,29600,6.98
ATNM,2015-05-27,3.85,4.07,3.50,3.78,3036800,3.78
ATNM,2015-05-26,3.04,4.34,2.90,3.74,10249200,3.74
AE,2015-05-27,42.11,42.95,40.96,42.50,12800,42.50
AE,2015-05-26,39.00,42.23,39.00,41.51,34700,41.51
IF,2015-05-27,7.59,7.59,7.55,7.57,10600,7.57
IF,2015-05-26,7.60,7.78,7.60,7.62,29300,7.62
ACU,2015-05-27,17.44,17.50,17.43,17.50,2600,17.50
ACU,2015-05-26,17.50,17.50,17.45,17.45,700,17.45
ACY,2015-05-27,8.85,8.99,8.85,8.95,800,8.95
ACY,2015-05-26,8.90,9.00,8.86,8.95,1600,8.95
AIII,2015-05-27,1.62,1.62,1.58,1.58,900,1.58
AIII,2015-05-26,1.59,1.62,1.57,1.62,300,1.62
WGA,2015-05-27,0.80,0.84,0.80,0.84,2100,0.84
WGA,2015-05-26,0.82,0.84,0.78,0.84,2100,0.84
AXX,2015-05-27,0.23,0.24,0.223,0.24,14000,0.24
AXX,2015-05-26,0.228,0.234,0.227,0.234,5300,0.234
AIRI,2015-05-27,10.298,10.44,10.2901,10.31,1900,10.31
AIRI,2015-05-26,10.28,10.33,10.28,10.33,200,10.33
AAU,2015-05-27,0.90,0.91,0.85,0.89,84700,0.89
AAU,2015-05-26,0.93,0.93,0.87,0.91,104000,0.91
APT,2015-05-27,2.38,2.39,2.35,2.36,22500,2.36
APT,2015-05-26,2.42,2.46,2.36,2.36,127000,2.36
AXU,2015-05-27,0.47,0.50,0.46,0.47,122400,0.47
